"160x450 Wide Skyscraper","160x450 Wide Skyscraper"
"160x600 Wide Skyscraper Fully","160x600 Wide Skyscraper Fully"
"168x145 Single Product","168x145 Single Product"
"300x250 Medium Rectangle","300x250 Medium Rectangle"
"336x300 Large Rectangle","336x300 Large Rectangle"
"728x136 Wide Rectangle","728x136 Wide Rectangle"
"728x175 Wide Rectangle Fully","728x175 Wide Rectangle Fully"
"Action","Action"
"Affiliate Plus","Affiliate Plus"
"Allow Everything","Allow Everything"
"Are you sure?","Are you sure?"
"Back","Back"
"Background","Background"
"Border","Border"
"Categories","Categories"
"Columns","Columns"
"Copy and paste the HTML code onto your webpage.","Copy and paste the HTML code onto your webpage."
"Custom Size","Custom Size"
"Default Search Term","Default Search Term"
"Delete","Delete"
"Edit","Edit"
"Edit Widget ","Edit Widget "
"Enable Widget Plugin","Enable Widget Plugin"
"Get Affiliate Widget","Get Affiliate Widget"
"Get HTML Code","Get HTML Code"
"Go","Go"
"Height","Height"
"Loading...","Loading..."
"Minimum Height","Minimum Height"
"Minimum Width","Minimum Width"
"Minimum height of the element should be","Minimum height of the element should be"
"Minimum width of the element should be","Minimum width of the element should be"
"My Widgets","My Widgets"
"Name","Name"
"New Widget","New Widget"
"No.","No."
"Preview","Preview"
"Preview Widget","Preview Widget"
"Product","Product"
"Rows","Rows"
"Save Widget","Save Widget"
"Short Description","Short Description"
"Show Image","Show Image"
"Show Price","Show Price"
"Show Rate","Show Rate"
"Size","Size"
"Text Body","Text Body"
"Text Header","Text Header"
"Text Link","Text Link"
"Background Color of header","Background Color of header"
"Default is FFFFFF","Default is FFFFFF"
"Background Border Color","Background Border Color"
"Default is AAAAAA","Default is AAAAAA"
"Widget Code","Widget Code"
"Widget Configuration","Widget Configuration"
"Widget Information","Widget Information"
"Text Color of product informations","Text Color of product informations"
"Default is 101010","Default is 101010"
"Text Color of header","Text Color of header"
"Default is 112211","Default is 112211"
"Text Color of link","Text Color of link"
"Default is 0000FF","Default is 0000FF"
"Widget has been deleted successfully","Widget has been deleted successfully"
"Widget has been saved successfully","Widget has been saved successfully"
"Widget not found","Widget not found"
"Width","Width"
"There are no widgets on this section.","There are no widgets on this section."
